ID,First Name,Last Name,Money Available,Concerts Purchased,TicketMiner Membership,Username,Password
1,Mickey,Mouse,2340.86,0,TRUE,mickeymouse,Fun!23
2,Donald,Duck,4850.84,0,FALSE,donaldduck,Fun!23
3,Minnie,Mouse,1365.7,0,TRUE,minniemouse,Fun!23
4,Goofy,Disney,4171.07,0,TRUE,goofydisney,Fun!23
5,Pluto,Disney,5578.81,0,FALSE,plutodisney,Fun!23
6,Chip,Disney,4886.52,0,TRUE,chipdisney,Fun!23
7,Dale,Disney,4881.4,0,FALSE,daledisney,Fun!23
8,Cinderella,Disney,3933.93,0,TRUE,cinderelladisney,Fun!23
9,Ariel,Disney,3026.28,0,TRUE,arieldisney,Fun!23
10,Jasmine,Disney,2348.55,0,TRUE,jasminedisney,Fun!23
11,Aladdin,Disney,5185.43,0,TRUE,aladdindisney,Fun!23
12,Simba,Disney,5095.66,0,FALSE,simbadisney,Fun!23
13,Mufassa,Disney,2487.49,0,FALSE,mufassadisney,Fun!23
14,Aurora,Disney,2909.45,0,TRUE,auroradisney,Fun!23
15,Peter,Pan,3106.39,0,FALSE,peterpan,Fun!23
16,Woody,Disney,5541.84,0,FALSE,woodydisney,Fun!23
17,Buzz,Lightyear,4867.96,0,TRUE,buzzlightyear,Fun!23
18,Jafar,Aladdin,2406.24,0,FALSE,jafaraladdin,Fun!23
19,Ursela,Mermaid,1424.75,0,TRUE,urselamermaid,Fun!23
20,Beast,Disney,2894.24,0,FALSE,beastdisney,Fun!23
21,Belle,Disney,5942.57,0,TRUE,belledisney,Fun!23
22,Cruella,De Vil,1616.79,0,FALSE,cruellade vil,Fun!23
23,Scar,Lion,3633.47,0,FALSE,scarlion,Fun!23
24,Simba,King,3720.37,0,TRUE,simbaking,Fun!23
25,Gaston,Disney,2360.91,0,FALSE,gastondisney,Fun!23
26,Shere,Khan,2030,0,TRUE,sherekhan,Fun!23
27,Captaiin,Hook,5205.45,0,TRUE,captaiinhook,Fun!23
28,Kaa,Disney,1470.67,0,FALSE,kaadisney,Fun!23
29,Evil,Queen,3606.52,0,FALSE,evilqueen,Fun!23
30,Pinocchio,Disney,918.29,0,FALSE,pinocchiodisney,Fun!23
31,Prince,Eric,3946.76,0,TRUE,princeeric,Fun!23
32,Quasimodo,Disney,2663.47,0,FALSE,quasimododisney,Fun!23
33,Hercules,Disney,1405.23,0,TRUE,herculesdisney,Fun!23
34,Mulan,Disney,5554.95,0,FALSE,mulandisney,Fun!23
35,Lilo,Disney,3670.28,0,FALSE,lilodisney,Fun!23
36,Stitch,Disney,2298.73,0,TRUE,stitchdisney,Fun!23
37,Daniel,Mejia,2011.02,0,FALSE,danielmejia,Fun!23
38,Alireza,Nouri,5158.27,0,FALSE,alirezanouri,Fun!23
39,Isabella,Gaytan,2205.15,0,TRUE,isabellagaytan,Fun!23
40,Alondra,Gonzalez,2166.56,0,FALSE,alondragonzalez,Fun!23
41,Angel,Aguayo,5372.42,0,TRUE,aguayoangel,Fun!23
42,Cesar,Alvarez,830.4,0,TRUE,alvarezcesar,Fun!23
43,Javier,Aranda,5273.49,0,TRUE,arandajavier,Fun!23
44,Rafael,Ayala,2483.49,0,TRUE,ayalarafael,Fun!23
45,Raul,BaezRamirez,4849.52,0,FALSE,baezramirezraul,Fun!23
46,Alondra,Baquier,1642.05,0,TRUE,baquieralondra,Fun!23
47,Darien,Booth,3048.09,0,TRUE,boothdarien,Fun!23
48,Gabriela,Canizales,3869.68,0,FALSE,canizalesgabriela,Fun!23
49,Steven,Carrillo,4074.78,0,FALSE,carrillosteven,Fun!23
50,Bungein,Cheng,966.33,0,FALSE,chengbungein,Fun!23
51,Valeria,Contreras,2163.59,0,TRUE,contrerasvaleria,Fun!23
